Time, 01/02/2024 15:06:49, X, 10737819.271307163 , Y, 25147091.34956196  , Z, 35449695.72415039  , Lat, 0.913778440206058    , Lon, 1.1672325028318098 , Alt, 38399055.762544185 , Bx, [0.98436731] , [0.10525933] , [0.14121428] , By, [0.78411283] , [0.1327454]  , [0.60625549] , Bz, [-0.40447337], [-0.90647902], [-0.12123151]
Time, 01/02/2024 15:06:50, X, 10487557.880087668 , Y, 28739335.04726235  , Z, 39038892.49622203  , Lat, 0.9061002708468822   , Lon, 1.2208920764156534 , Alt, 43227118.6798307   , Bx, [0.6907508]  , [-0.7206163] , [0.05979527] , By, [0.22038634] , [-0.00696623], [-0.97538779], Bz, [0.59651221] , [0.47422343] , [-0.64752244]
Time, 01/02/2024 15:06:51, X, 8570680.72529621   , Y, 32365342.774870127 , Z, 42466958.20012483  , Lat, 0.9031691252713022   , Lon, 1.3119277243937641 , Alt, 47706856.09471729  , Bx, [0.56663832] , [-0.77046526], [-0.292069]  , By, [0.89111788] , [-0.37596097], [-0.25409108], Bz, [-0.92671197], [0.11674916] , [-0.3571758]
Time, 01/02/2024 15:06:52, X, 7937578.848130105  , Y, 35683727.67931086  , Z, 47069829.742252484 , Lat, 0.9104679839204173   , Lon, 1.351917445470116  , Alt, 53226839.31508033  , Bx, [-0.25896733], [0.92983343] , [0.26143012] , By, [-0.68625177], [0.6256108]  , [0.3710386]  , Bz, [0.61165407] , [-0.24250177], [0.75304196]
Time, 01/02/2024 15:06:53, X, 5728339.173622339  , Y, 39558684.526964456 , Z, 51830939.685729586 , Lat, 0.9138736385296465   , Lon, 1.4269898089439654 , Alt, 59082416.25841764  , Bx, [0.25066715] , [-0.88938418], [0.38231108] , By, [-0.81225289], [-0.5832491] , [-0.00810756], Bz, [-0.90761719], [0.30554195] , [0.28788046]
Time, 01/02/2024 15:06:54, X, 4313924.872929779  , Y, 43631553.579259366 , Z, 57867481.02675912  , Lat, 0.9224061858858932   , Lon, 1.4722449501308412 , Alt, 66230430.94961277  , Bx, [-0.60179977], [0.5325218]  , [0.59519541] , By, [0.09689137] , [-0.54889383], [0.83025757] , Bz, [0.34889825] , [0.07323384] , [0.93429482]
Time, 01/02/2024 15:06:55, X, 3690792.970925744  , Y, 47904092.726380974 , Z, 62334548.20004597  , Lat, 0.9141297435490999   , Lon, 1.4939027711856554 , Alt, 72331096.23635063  , Bx, [0.93573465] , [-0.26718579], [-0.23024425], By, [0.66111529] , [0.27483563] , [0.69813462] , Bz, [0.66140134] , [0.17260632] , [-0.7299009]
Time, 01/02/2024 15:06:56, X, 2250870.7664335063 , Y, 53351633.44918607  , Z, 66519391.0813539   , Lat, 0.8943748377826606   , Lon, 1.5286319810604803 , Alt, 78930187.56932755  , Bx, [-0.12161203], [0.84849109] , [0.51504697] , By, [-0.61393875], [0.3784411]  , [0.69272039] , Bz, [-0.37695165], [0.84457621] , [-0.38026107]
Time, 01/02/2024 15:06:57, X, 771967.4032487625  , Y, 57455137.94965305  , Z, 69848691.79087947  , Lat, 0.8824021836577878   , Lon, 1.55736113226947   , Alt, 84075274.4140554   , Bx, [0.07010202] , [0.44801999] , [0.89127089] , By, [0.63341475] , [-0.72182552], [-0.27884346], Bz, [-0.10904863], [-0.65545034], [-0.74732406]
Time, 01/02/2024 15:06:58, X, 498919.73575701535 , Y, 60867179.05502822  , Z, 74253993.43895052  , Lat, 0.8841321062793097   , Lon, 1.562599650522698  , Alt, 89643154.93900523  , Bx, [0.54731106] , [0.37691299] , [0.74725311] , By, [-0.2618097] , [-0.574889]  , [-0.77521502], Bz, [0.6572933]  , [-0.68787778], [0.30787933]
Time, 01/02/2024 15:06:59, X, -1482164.870478327 , Y, 64282971.441207305 , Z, 77710182.62439494  , Lat, 0.8795496721722165   , Lon, -1.5477435295827382, Alt, 94492123.655433    , Bx, [0.15729738] , [0.96652682] , [-0.20269051], By, [0.08272682] , [-0.94330227], [-0.32146089], Bz, [-0.78143331], [-0.36608062], [-0.50531868]
